CP,Estado,Municipio
54850,E,Cuautitlán
54964,E,Tultepec
56335,E,Chimalhuacán
56370,E,Chicoloapan
55796,E,Nextlalpan
56386,E,Chicoloapan
54870,E,Cuautitlán
55728,E,Coacalco de Berriozábal
54910,E,Tultitlán
55764,E,Tecámac
56030,E,Chiautla
54720,E,Cuautitlán Izcalli
56040,E,Chiautla
55029,E,Ecatepec de Morelos
54783,E,Teoloyucan
55785,E,Tonanitla
54715,E,Cuautitlán Izcalli
54960,E,Tultepec
54605,E,Tepotzotlán
54745,E,Cuautitlán Izcalli
54840,E,Cuautitlán
54769,E,Cuautitlán Izcalli
54760,E,Cuautitlán Izcalli
55719,E,Coacalco de Berriozábal
54933,E,Tultitlán
56035,E,Chiautla
54927,E,Tultitlán
55730,E,Coacalco de Berriozábal
55790,E,Nextlalpan
54882,E,Melchor Ocampo
56110,E,Texcoco
54935,E,Tultitlán
55707,E,Coacalco de Berriozábal
54980,E,Tultepec
54786,E,Teoloyucan
56120,E,Texcoco
55018,E,Ecatepec de Morelos
56236,E,Texcoco
56100,E,Texcoco
56266,E,Texcoco
55712,E,Coacalco de Berriozábal
56377,E,Chicoloapan
54900,E,Tultitlán
54770,E,Teoloyucan
54614,E,Tepotzotlán
54890,E,Melchor Ocampo
56376,E,Chicoloapan
54955,E,Tultitlán
56208,E,Texcoco
56338,E,Chimalhuacán
54719,E,Cuautitlán Izcalli
55700,E,Coacalco de Berriozábal
54729,E,Cuautitlán Izcalli
56247,E,Texcoco
56226,E,Texcoco
54710,E,Cuautitlán Izcalli
56334,E,Chimalhuacán
54880,E,Melchor Ocampo
56380,E,Chicoloapan
54945,E,Tultitlán
54753,E,Cuautitlán Izcalli
56383,E,Chicoloapan
56105,E,Texcoco
55705,E,Coacalco de Berriozábal
54740,E,Cuautitlán Izcalli
54929,E,Tultitlán
54750,E,Cuautitlán Izcalli
54830,E,Cuautitlán
54932,E,Tultitlán
54958,E,Tultitlán
54985,E,Tultepec
54925,E,Tultitlán
54946,E,Tultitlán
56356,E,Chimalhuacán
56265,E,Texcoco
56360,E,Chimalhuacán
56225,E,Texcoco
56033,E,Chiautla
55710,E,Coacalco de Berriozábal
56264,E,Texcoco
55024,E,Ecatepec de Morelos
54807,E,Cuautitlán
54712,E,Cuautitlán Izcalli
56203,E,Texcoco
55720,E,Coacalco de Berriozábal
54930,E,Tultitlán
55040,E,Ecatepec de Morelos
54800,E,Cuautitlán
55010,E,Ecatepec de Morelos
54803,E,Cuautitlán
54858,E,Cuautitlán
55770,E,Tecámac
54660,E,Coyotepec
56246,E,Texcoco
54658,E,Tepotzotlán
56255,E,Texcoco
54944,E,Tultitlán
54440,E,Nicolás Romero
55714,E,Coacalco de Berriozábal
56260,E,Texcoco
54948,E,Tultitlán
54713,E,Cuautitlán Izcalli
54987,E,Tultepec
54743,E,Cuautitlán Izcalli
54857,E,Cuautitlán
56300,E,Atenco
55739,E,Coacalco de Berriozábal
56217,E,Texcoco
54942,E,Tultitlán
56160,E,Texcoco
56267,E,Texcoco
56373,E,Chicoloapan
54714,E,Cuautitlán Izcalli
55780,E,Jaltenco
56150,E,Texcoco
55016,E,Ecatepec de Morelos
56363,E,Chimalhuacán
54915,E,Tultitlán
55726,E,Coacalco de Berriozábal
55028,E,Ecatepec de Morelos
56253,E,Texcoco
55717,E,Coacalco de Berriozábal
56200,E,Texcoco
56170,E,Texcoco
56140,E,Texcoco
54943,E,Tultitlán
55765,E,Tecámac
54680,E,Huehuetoca
54725,E,Cuautitlán Izcalli
56230,E,Texcoco
55763,E,Tecámac
54965,E,Tultepec
56106,E,Texcoco
54963,E,Tultepec
56340,E,Chimalhuacán
56344,E,Chimalhuacán
54694,E,Huehuetoca
56205,E,Texcoco
55718,E,Coacalco de Berriozábal
56330,E,Chimalhuacán
56395,E,Chicoloapan
56130,E,Texcoco
56337,E,Chimalhuacán
42995,H,Atotonilco de Tula
54667,E,Coyotepec
54962,E,Tultepec
54984,E,Tultepec
56270,E,Chiconcuac
54967,E,Tultepec
56210,E,Texcoco
52977,E,Atizapán de Zaragoza
55066,E,Ecatepec de Morelos
55023,E,Ecatepec de Morelos
55060,E,Ecatepec de Morelos
55070,E,Ecatepec de Morelos
56366,E,Chimalhuacán
55635,E,Zumpango
55604,E,Zumpango
52920,E,Atizapán de Zaragoza
54685,E,Huehuetoca
52985,E,Atizapán de Zaragoza
56343,E,Chimalhuacán
54683,E,Huehuetoca
56220,E,Texcoco
54957,E,Tultitlán
55634,E,Zumpango
56240,E,Texcoco
54950,E,Tultitlán
54970,E,Tultepec
52997,E,Atizapán de Zaragoza
55600,E,Zumpango
54600,E,Tepotzotlán
55210,E,Ecatepec de Morelos
55748,E,Tecámac
56250,E,Texcoco
55076,E,Ecatepec de Morelos
55614,E,Zumpango
55630,E,Zumpango
55280,E,Ecatepec de Morelos
56050,E,Papalotla
55607,E,Zumpango
54100,E,Tlalnepantla de Baz
55270,E,Ecatepec de Morelos
56350,E,Chimalhuacán
54140,E,Tlalnepantla de Baz
52924,E,Atizapán de Zaragoza
57600,E,Nezahualcóyotl
56263,E,Texcoco
56390,E,Chicoloapan
57500,E,Nezahualcóyotl
56353,E,Chimalhuacán
56375,E,Chicoloapan
54696,E,Huehuetoca
54158,E,Tlalnepantla de Baz
54607,E,Tepotzotlán
54080,E,Tlalnepantla de Baz
55605,E,Zumpango
57300,E,Nezahualcóyotl
56245,E,Texcoco
57830,E,Nezahualcóyotl
52940,E,Atizapán de Zaragoza
55000,E,Ecatepec de Morelos
54150,E,Tlalnepantla de Baz
55104,E,Ecatepec de Morelos
54090,E,Tlalnepantla de Baz
57820,E,Nezahualcóyotl
57120,E,Nezahualcóyotl
54134,E,Tlalnepantla de Baz
09180,C,Iztapalapa
57000,E,Nezahualcóyotl
54949,E,Tultitlán
57620,E,Nezahualcóyotl
55340,E,Ecatepec de Morelos
08100,C,Iztacalco
09510,C,Iztapalapa
57460,E,Nezahualcóyotl
57510,E,Nezahualcóyotl
57800,E,Nezahualcóyotl
54924,E,Tultitlán
57450,E,Nezahualcóyotl
54474,E,Nicolás Romero
56490,E,La Paz
52947,E,Atizapán de Zaragoza
54475,E,Nicolás Romero
57310,E,Nezahualcóyotl
57940,E,Nezahualcóyotl
56530,E,Ixtapaluca
57710,E,Nezahualcóyotl
57440,E,Nezahualcóyotl
54020,E,Tlalnepantla de Baz
09280,C,Iztapalapa
54975,E,Tultepec
57200,E,Nezahualcóyotl
09640,C,Iztapalapa
09290,C,Iztapalapa
55130,E,Ecatepec de Morelos
09209,C,Iztapalapa
09700,C,Iztapalapa
09637,C,Iztapalapa
09220,C,Iztapalapa
55020,E,Ecatepec de Morelos
56346,E,Chimalhuacán
09570,C,Iztapalapa
09410,C,Iztapalapa
08040,C,Iztacalco
54976,E,Tultepec
57708,E,Nezahualcóyotl
57410,E,Nezahualcóyotl
52919,E,Atizapán de Zaragoza
09040,C,Iztapalapa
09690,C,Iztapalapa
09360,C,Iztapalapa
09100,C,Iztapalapa
13210,C,Tláhuac
56776,E,Ayapango
57750,E,Nezahualcóyotl
08730,C,Iztacalco
13219,C,Tláhuac
09750,C,Iztapalapa
09820,C,Iztapalapa
57740,E,Nezahualcóyotl
09000,C,Iztapalapa
09800,C,Iztapalapa
09300,C,Iztapalapa
